ID,SetNumber,URL,Images,Description,Notes,DashedNumber
7133,70642,https://www.lego.com/biassets/bi/6235141.pdf,https://www.lego.com/biassets/biimg/6235141.png,Killow vs. Samurai X,"BI 3017/124+4/65+200G, 70642 V29",70642-1
7134,70642,https://www.lego.com/biassets/bi/6235143.pdf,https://www.lego.com/biassets/biimg/6235143.png,Killow vs. Samurai X,"BI 3017/124+4/65+200G, 70642 V39",70642-1
7135,70643,https://www.lego.com/biassets/bi/6233138.pdf,https://www.lego.com/biassets/biimg/6233138.png,Temple of Resurrection,"BI 3016, 140+4, 65+200G, 70643 V29",70643-1
7136,70643,https://www.lego.com/biassets/bi/6233141.pdf,https://www.lego.com/biassets/biimg/6233141.png,Temple of Resurrection,"BI 3016, 140+4, 65+200G, 70643 V39",70643-1
7137,70644,https://www.lego.com/biassets/bi/6242274.pdf,https://www.lego.com/biassets/biimg/6242274.png,Golden Dragon Master,"BI 3002/48, 70644 V29",70644-1
7138,70644,https://www.lego.com/biassets/bi/6242278.pdf,https://www.lego.com/biassets/biimg/6242278.png,Golden Dragon Master,"BI 3002/48, 70644 V39",70644-1
7139,70645,https://www.lego.com/biassets/bi/6242282.pdf,https://www.lego.com/biassets/biimg/6242282.png,Cole - Dragon Master,"BI 3002/48, 70645 V29",70645-1
7140,70645,https://www.lego.com/biassets/bi/6242286.pdf,https://www.lego.com/biassets/biimg/6242286.png,Cole - Dragon Master,"BI 3002/48, 70645 V39",70645-1
7141,70646,https://www.lego.com/biassets/bi/6242292.pdf,https://www.lego.com/biassets/biimg/6242292.png,Jay - Dragon Master,"BI 3002/48, 70646 V29",70646-1
7142,70646,https://www.lego.com/biassets/bi/6242294.pdf,https://www.lego.com/biassets/biimg/6242294.png,Jay - Dragon Master,"BI 3002/48, 70646 V39",70646-1
7143,70647,https://www.lego.com/biassets/bi/6242295.pdf,https://www.lego.com/biassets/biimg/6242295.png,Kai - Dragon Master,"BI 3002/48, 70647 V29",70647-1
7144,70647,https://www.lego.com/biassets/bi/6242296.pdf,https://www.lego.com/biassets/biimg/6242296.png,Kai - Dragon Master,"BI 3002/48, 70647 V39",70647-1
7145,70648,https://www.lego.com/biassets/bi/6242297.pdf,https://www.lego.com/biassets/biimg/6242297.png,Zane - Dragon Master,"BI 3002/48, 70648 V29",70648-1
7146,70648,https://www.lego.com/biassets/bi/6242298.pdf,https://www.lego.com/biassets/biimg/6242298.png,Zane - Dragon Master,"BI 3002/48, 70648 V39",70648-1
7147,70650,https://www.lego.com/biassets/bi/6242300.pdf,https://www.lego.com/biassets/biimg/6242300.png,Destiny's Wing,"BI 3004/72+4, 70650 V29",70650-1
7148,70650,https://www.lego.com/biassets/bi/6242302.pdf,https://www.lego.com/biassets/biimg/6242302.png,Destiny's Wing,"BI 3004/72+4, 70650 V39",70650-1
7149,70651,https://www.lego.com/biassets/bi/6245844.pdf,https://www.lego.com/biassets/biimg/6245844.png,Throne Room Showdown,"BI 3004/64+4, 70651 V39",70651-1
7150,70651,https://www.lego.com/biassets/bi/6245843.pdf,https://www.lego.com/biassets/biimg/6245843.png,Throne Room Showdown,"BI 3004/64+4, 70651 V29",70651-1
7151,70652,https://www.lego.com/biassets/bi/6245857.pdf,https://www.lego.com/biassets/biimg/6245857.png,Stormbringer,"BI 3017/104+4/65, 70652 V29",70652-1
7152,70652,https://www.lego.com/biassets/bi/6245858.pdf,https://www.lego.com/biassets/biimg/6245858.png,Stormbringer,"BI 3017/104+4/65, 70652 V39",70652-1
7153,70653,https://www.lego.com/biassets/bi/6242315.pdf,https://www.lego.com/biassets/biimg/6242315.png,Firstbourne,"BI 3019/168+4/65, 70653 V29",70653-1
7154,70653,https://www.lego.com/biassets/bi/6242317.pdf,https://www.lego.com/biassets/biimg/6242317.png,Firstbourne,"BI 3019/168+4/65, 70653 V39",70653-1
7155,70654,https://www.lego.com/biassets/bi/6242425.pdf,https://www.lego.com/biassets/biimg/6242425.png,Dieselnaut,"BI 3019/152+4/65+200G, 70654 V39",70654-1
7156,70654,https://www.lego.com/biassets/bi/6242422.pdf,https://www.lego.com/biassets/biimg/6242422.png,Dieselnaut,"BI 3019/152+4/65+200G, 70654 V29",70654-1
7157,70655,https://www.lego.com/biassets/bi/6251170.pdf,https://www.lego.com/biassets/biimg/6251170.png,Dragon Pit,"BI 3019, 240+4/65+200G, 70655 V29",70655-1
7158,70655,https://www.lego.com/biassets/bi/6251171.pdf,https://www.lego.com/biassets/biimg/6251171.png,Dragon Pit,"BI 3019, 240+4/65+200G, 70655 V39",70655-1
7159,70656,https://www.lego.com/biassets/bi/6226679.pdf,https://www.lego.com/biassets/biimg/6226679.png,"garmadon, Garmadon, GARMADON!","BI 3019, 144+4, 70656 V29",70656-1
7160,70656,https://www.lego.com/biassets/bi/6226680.pdf,https://www.lego.com/biassets/biimg/6226680.png,"garmadon, Garmadon, GARMADON!","BI 3019, 144+4, 70656 V39",70656-1
7161,70657,https://www.lego.com/biassets/bi/6244614.pdf,https://www.lego.com/biassets/biimg/6244614.png,NINJAGO-TM City Docks,"BI 3019/376+4/65+200G, 70657 V39",70657-1
