ID,SetNumber,URL,Images,Description,Notes,DashedNumber
1,7774,https://www.lego.com/biassets/bi/4512816.pdf,https://www.lego.com/biassets/biimg/4512816.png,Crab Crusher,"BI, 7774",7774-1
2,7775,https://www.lego.com/biassets/bi/4506888.pdf,https://www.lego.com/biassets/biimg/4506888.png,Aquabase Invasion,"BUILDING INSTRUC. BOOK 1, 7775",7775-1
3,7775,https://www.lego.com/biassets/bi/4506891.pdf,https://www.lego.com/biassets/biimg/4506891.png,Aquabase Invasion,"BUILDING INSTRU. BOOK 2, 7775",7775-1
4,7776,https://www.lego.com/biassets/bi/4506894.pdf,https://www.lego.com/biassets/biimg/4506894.png,The Shipwreck,"BI, 7776",7776-1
5,7778,https://www.lego.com/biassets/bi/4565315.pdf,https://www.lego.com/biassets/biimg/4565315.png,Mid-scale Millennium Falcon-„¢,BI 3006/48 - 7778,7778-1
6,7779,https://www.lego.com/biassets/bi/4492750.pdf,https://www.lego.com/biassets/biimg/4492750.png,The Batman-„¢ Dragster: Catwoman-„¢ Pursuit,BI 7779 NA,7779-1
7,7779,https://www.lego.com/biassets/bi/4492749.pdf,https://www.lego.com/biassets/biimg/4492749.png,The Batman-„¢ Dragster: Catwoman-„¢ Pursuit,BI  7779 IN,7779-1
8,7780,https://www.lego.com/biassets/bi/4493192.pdf,https://www.lego.com/biassets/biimg/4493192.png,The Batboat-„¢: Hunt for Killer Croc-„¢,BI 7780 NA,7780-1
9,7780,https://www.lego.com/biassets/bi/4493191.pdf,https://www.lego.com/biassets/biimg/4493191.png,The Batboat-„¢: Hunt for Killer Croc-„¢,BI 7780 IN,7780-1
10,7781,https://www.lego.com/biassets/bi/4495110.pdf,https://www.lego.com/biassets/biimg/4495110.png,The Batmobile-„¢: Two-Face's Escape,BI 7781 IN,7781-1
11,7781,https://www.lego.com/biassets/bi/4495111.pdf,https://www.lego.com/biassets/biimg/4495111.png,The Batmobile-„¢: Two-Face's Escape,BI 7781 NA,7781-1
12,7782,https://www.lego.com/biassets/bi/4492751.pdf,https://www.lego.com/biassets/biimg/4492751.png,The Batwing-„¢: The Joker's Aerial Assault,BI 7782 IN,7782-1
13,7782,https://www.lego.com/biassets/bi/4492752.pdf,https://www.lego.com/biassets/biimg/4492752.png,The Batwing-„¢: The Joker's Aerial Assault,BI 7782 NA,7782-1
14,7783,https://www.lego.com/biassets/bi/4497987.pdf,https://www.lego.com/biassets/biimg/4497987.png,The Batcave-„¢: The Penguin-„¢ and Mr. Freez,BI 7783-1 IN,7783-1
15,7783,https://www.lego.com/biassets/bi/4497992.pdf,https://www.lego.com/biassets/biimg/4497992.png,The Batcave-„¢: The Penguin-„¢ and Mr. Freez,BI 7783-2 IN,7783-1
16,7783,https://www.lego.com/biassets/bi/4497990.pdf,https://www.lego.com/biassets/biimg/4497990.png,The Batcave-„¢: The Penguin-„¢ and Mr. Freez,BI 7783-1 NA,7783-1
17,7783,https://www.lego.com/biassets/bi/4497994.pdf,https://www.lego.com/biassets/biimg/4497994.png,The Batcave-„¢: The Penguin-„¢ and Mr. Freez,BI 7783-2 NA,7783-1
18,7784,https://www.lego.com/biassets/bi/4496458.pdf,https://www.lego.com/biassets/biimg/4496458.png,The Batmobile-„¢: Ultimate Collectors' Edi,BI 7784 NA 2/2,7784-1
19,7784,https://www.lego.com/biassets/bi/4496455.pdf,https://www.lego.com/biassets/biimg/4496455.png,The Batmobile-„¢: Ultimate Collectors' Edi,BI  7784 1/2,7784-1
20,7784,https://www.lego.com/biassets/bi/4496457.pdf,https://www.lego.com/biassets/biimg/4496457.png,The Batmobile-„¢: Ultimate Collectors' Edi,BI 7784 IN 2/2,7784-1
21,7785,https://www.lego.com/biassets/bi/4503480.pdf,https://www.lego.com/biassets/biimg/4503480.png,Arkham Asylum-„¢,BI 7785-1 IN,7785-1
22,7785,https://www.lego.com/biassets/bi/4503481.pdf,https://www.lego.com/biassets/biimg/4503481.png,Arkham Asylum-„¢,BI 7785-1 NA,7785-1
23,7785,https://www.lego.com/biassets/bi/4499508.pdf,https://www.lego.com/biassets/biimg/4499508.png,Arkham Asylum-„¢,BI 7785-2 IN,7785-1
24,7785,https://www.lego.com/biassets/bi/4499509.pdf,https://www.lego.com/biassets/biimg/4499509.png,Arkham Asylum-„¢,BI 7785-2 NA,7785-1
25,7786,https://www.lego.com/biassets/bi/4519839.pdf,https://www.lego.com/biassets/biimg/4519839.png,The Batcopter-„¢: The Chase for Scarecrow,"BI, 7786",7786-1
26,7787,https://www.lego.com/biassets/bi/4517989.pdf,https://www.lego.com/biassets/biimg/4517989.png,The Bat-Tank-„¢: The Riddler-„¢ and Bane's H,"BI, 7787",7787-1
27,7789,https://www.lego.com/biassets/bi/4594927.pdf,https://www.lego.com/biassets/biimg/4594927.png,Lotso's Dump Truck,BI 3004/48 - 7789 V 29,7789-1
28,7789,https://www.lego.com/biassets/bi/4626100.pdf,https://www.lego.com/biassets/biimg/4626100.png,Lotso's Dump Truck,BI 3004/48 - 7789 V 39,7789-1
29,7793,https://www.lego.com/biassets/bi/4298129.pdf,https://www.lego.com/biassets/biimg/4298129.png,LEGO-TM Standard Starter Set,BUILD.INST. 3002 /7793/IN,7793-1
30,7795,https://www.lego.com/biassets/bi/4293743.pdf,https://www.lego.com/biassets/biimg/4293743.png,LEGO-TM Deluxe Starter Set,BUILDING INST. 3002 /7795,7795-1
31,7796,https://www.lego.com/biassets/bi/4524727.pdf,https://www.lego.com/biassets/biimg/4524727.png,House,"BUILDING INST.2001,7796 V29",7796-1
32,7796,https://www.lego.com/biassets/bi/4524728.pdf,https://www.lego.com/biassets/biimg/4524728.png,House,"BUILDING INST.2001,7796 V39",7796-1
33,7797,https://www.lego.com/biassets/bi/4524729.pdf,https://www.lego.com/biassets/biimg/4524729.png,Bi-Plane,"BUILDING INST.2001,7797 V29",7797-1
34,7797,https://www.lego.com/biassets/bi/4524730.pdf,https://www.lego.com/biassets/biimg/4524730.png,Bi-Plane,"BUILD. INST.2001,7797 v39/v46",7797-1
35,7798,https://www.lego.com/biassets/bi/4524731.pdf,https://www.lego.com/biassets/biimg/4524731.png,Stegosaurus,"BUILDING INST.2001,7798 V29/70",7798-1
36,7798,https://www.lego.com/biassets/bi/4524732.pdf,https://www.lego.com/biassets/biimg/4524732.png,Stegosaurus,"BUILDING INST.2001,7798 V39",7798-1
37,7799,https://www.lego.com/biassets/bi/4524733.pdf,https://www.lego.com/biassets/biimg/4524733.png,Cargo Chopper,"BUILDING INST.2001,7799 V29/70",7799-1
38,7799,https://www.lego.com/biassets/bi/4524735.pdf,https://www.lego.com/biassets/biimg/4524735.png,Cargo Chopper,"BUILDING INST.2001,7799 V39",7799-1
39,7800,https://www.lego.com/biassets/bi/4547588.pdf,https://www.lego.com/biassets/biimg/4547588.png,Off Road Racer,BUILDING INSTRUC.  2001-7800,7800-1
40,7801,https://www.lego.com/biassets/bi/4590690.pdf,https://www.lego.com/biassets/biimg/4590690.png,Rally Racer,BI 2001/ 2 - 7801 v70,7801-1
41,7802,https://www.lego.com/biassets/bi/4570351.pdf,https://www.lego.com/biassets/biimg/4570351.png,Euro Racer,BUILDING INSTRUC. 7802 VER.39,7802-1
42,7802,https://www.lego.com/biassets/bi/4590691.pdf,https://www.lego.com/biassets/biimg/4590691.png,Euro Racer,BI 2001/ 2 - 7802 v70,7802-1
43,7802,https://www.lego.com/biassets/bi/4593138.pdf,https://www.lego.com/biassets/biimg/4593138.png,Euro Racer,BI 2001/2 - 7802 V140,7802-1
44,7803,https://www.lego.com/biassets/bi/4610545.pdf,https://www.lego.com/biassets/biimg/4610545.png,Jeep,BI 2002/ 2 - 7803 V140,7803-1
45,7803,https://www.lego.com/biassets/bi/4551126.pdf,https://www.lego.com/biassets/biimg/4551126.png,Jeep,BI 2001/ 2 - 7803 V29/70,7803-1
46,7804,https://www.lego.com/biassets/bi/4560956.pdf,https://www.lego.com/biassets/biimg/4560956.png,Lizard,BI 2001/ 2 - 7804 V.39,7804-1
47,7804,https://www.lego.com/biassets/bi/4551124.pdf,https://www.lego.com/biassets/biimg/4551124.png,Lizard,BI 2001/ 2 - 7804 V29/70,7804-1
48,7805,https://www.lego.com/biassets/bi/4551123.pdf,https://www.lego.com/biassets/biimg/4551123.png,Shark,BI 2001/ 2 - 7805 V29/70,7805-1
49,7808,https://www.lego.com/biassets/bi/4610547.pdf,https://www.lego.com/biassets/biimg/4610547.png,Yellow airplane,BI 2002/ 2 - 7808 V140,7808-1
50,7808,https://www.lego.com/biassets/bi/4551121.pdf,https://www.lego.com/biassets/biimg/4551121.png,Yellow airplane,BI 2001/ 2 - 7808 V.29/110/111,7808-1
51,7840,https://www.lego.com/biassets/bi/4495405.pdf,https://www.lego.com/biassets/biimg/4495405.png,Airport Action Set,BI  7840,7840-1
52,7843,https://www.lego.com/biassets/bi/4290755.pdf,https://www.lego.com/biassets/biimg/4290755.png,Plane,"BI,7840/7843",7843-1
53,7844,https://www.lego.com/biassets/bi/4297382.pdf,https://www.lego.com/biassets/biimg/4297382.png,Rescue Truck,"BI,7844GLUED",7844-1
54,7848,https://www.lego.com/biassets/bi/4597587.pdf,https://www.lego.com/biassets/biimg/4597587.png,"Toys R-€ Us Truck""",BI 3005/60 - 7848 V.29 1/2,7848-1
55,7848,https://www.lego.com/biassets/bi/4597588.pdf,https://www.lego.com/biassets/biimg/4597588.png,"Toys R-€ Us Truck""",BI 3005/60 - 7848 V.39 1/2,7848-1
56,7848,https://www.lego.com/biassets/bi/4597589.pdf,https://www.lego.com/biassets/biimg/4597589.png,"Toys R-€ Us Truck""",BI 3004/32 - 7848 V.29 2/2,7848-1
57,7848,https://www.lego.com/biassets/bi/4597590.pdf,https://www.lego.com/biassets/biimg/4597590.png,"Toys R-€ Us Truck""",BI 3004/32 - 7848 V.39 2/2,7848-1
58,7868,https://www.lego.com/biassets/bi/4642653.pdf,https://www.lego.com/biassets/biimg/4642653.png,Mace Windu's Jedi Starfighter-„¢,BI 3004/80+4 7868 V 29,7868-1
59,7868,https://www.lego.com/biassets/bi/4642654.pdf,https://www.lego.com/biassets/biimg/4642654.png,Mace Windu's Jedi Starfighter-„¢,BI 3004/80+4 7868 V 39,7868-1
60,7869,https://www.lego.com/biassets/bi/4625454.pdf,https://www.lego.com/biassets/biimg/4625454.png,Star Wars 1 Value Pack,BI 3005/60 - 7869 V 29/39,7869-1
61,7869,https://www.lego.com/biassets/bi/6020363.pdf,https://www.lego.com/biassets/biimg/6020363.png,Battle for Geonosis-„¢,BI 3005/60 - 7869 V 29/39,7869-1
62,7869,https://www.lego.com/biassets/bi/6020367.pdf,https://www.lego.com/biassets/biimg/6020367.png,Battle for Geonosis-„¢,BI 3005/60 - 7869 V 29/39,7869-1
63,7870,https://www.lego.com/biassets/bi/4276627.pdf,https://www.lego.com/biassets/biimg/4276627.png,Hans Christian Andersen Bucket,"BI, 7870",7870-1
64,7871,https://www.lego.com/biassets/bi/4509641.pdf,https://www.lego.com/biassets/biimg/4509641.png,Whale,BUILD. INSTR.  2001 7871 1/1,7871-1
65,7872,https://www.lego.com/biassets/bi/4509642.pdf,https://www.lego.com/biassets/biimg/4509642.png,Lion,BUILD. INSTR. 2001 7872 1/1,7872-1
66,7873,https://www.lego.com/biassets/bi/4509644.pdf,https://www.lego.com/biassets/biimg/4509644.png,Jet Plane,BUILD. INSTR.  2001 7873 1/1,7873-1
67,7875,https://www.lego.com/biassets/bi/4509646.pdf,https://www.lego.com/biassets/biimg/4509646.png,Digger,BUILD. INSTR.  2001 7875 1/1,7875-1
68,7876,https://www.lego.com/biassets/bi/4509648.pdf,https://www.lego.com/biassets/biimg/4509648.png,Cement Truck,BUILD. INSTR.  2001 7876 1/1,7876-1
69,7877,https://www.lego.com/biassets/bi/4648328.pdf,https://www.lego.com/biassets/biimg/4648328.png,Naboo Starfighter-„¢,BI 3005/60+4-7877 V29,7877-1
70,7877,https://www.lego.com/biassets/bi/4648330.pdf,https://www.lego.com/biassets/biimg/4648330.png,Naboo Starfighter-„¢,BI 3005/60+4-7877 V39,7877-1
71,7879,https://www.lego.com/biassets/bi/4646412.pdf,https://www.lego.com/biassets/biimg/4646412.png,Hoth Echo Base-„¢,BI 3016 60/65g 7879 V29/39 1/2,7879-1
72,7879,https://www.lego.com/biassets/bi/4646410.pdf,https://www.lego.com/biassets/biimg/4646410.png,Hoth Echo Base-„¢,BI 3016 60/65g 7879 V29/39 1/2,7879-1
73,7879,https://www.lego.com/biassets/bi/6000863.pdf,https://www.lego.com/biassets/biimg/6000863.png,Hoth Echo Base-„¢,BI 3016/48-65G 7879 V29 2/2,7879-1
74,7879,https://www.lego.com/biassets/bi/6000861.pdf,https://www.lego.com/biassets/biimg/6000861.png,Hoth Echo Base-„¢,BI 3016/48-65G 7879 V39 2/2,7879-1
75,7880,https://www.lego.com/biassets/bi/4494631.pdf,https://www.lego.com/biassets/biimg/4494631.png,DUPLO-TM Big Pirate Ship,"BI 7880, GL",7880-1
76,7881,https://www.lego.com/biassets/bi/4495830.pdf,https://www.lego.com/biassets/biimg/4495830.png,DUPLO-TM Pirate Ship,"BI 7881,GLU.",7881-1
77,7884,https://www.lego.com/biassets/bi/4540705.pdf,https://www.lego.com/biassets/biimg/4540705.png,Batman's Buggy: The Escape of Mr. Freeze,BI  NA 7884,7884-1
78,7884,https://www.lego.com/biassets/bi/4537539.pdf,https://www.lego.com/biassets/biimg/4537539.png,Batman's Buggy: The Escape of Mr. Freeze,BI IN 7884,7884-1
79,7885,https://www.lego.com/biassets/bi/4537540.pdf,https://www.lego.com/biassets/biimg/4537540.png,Robin's Scuba Jet: Attack of The Penguin,BI 7885,7885-1
80,7886,https://www.lego.com/biassets/bi/4537541.pdf,https://www.lego.com/biassets/biimg/4537541.png,The Batcycle-„¢: Harley Quinn's Hammer Tru,BI 7886,7886-1
81,7888,https://www.lego.com/biassets/bi/4537542.pdf,https://www.lego.com/biassets/biimg/4537542.png,The Tumbler-„¢: Joker's Ice Cream Surprise,BUILDING INST. NO.1 -7888,7888-1
82,7888,https://www.lego.com/biassets/bi/4537543.pdf,https://www.lego.com/biassets/biimg/4537543.png,The Tumbler-„¢: Joker's Ice Cream Surprise,BUILDING INST. NO.2 - 7888,7888-1
83,7890,https://www.lego.com/biassets/bi/4297924.pdf,https://www.lego.com/biassets/biimg/4297924.png,City Water Rescue,BI 7890 NA,7890-1
84,7890,https://www.lego.com/biassets/bi/4292890.pdf,https://www.lego.com/biassets/biimg/4292890.png,Co-pack TRU,BI  7890 IN,7890-1
85,7891,https://www.lego.com/biassets/bi/4297925.pdf,https://www.lego.com/biassets/biimg/4297925.png,Airport Firetruck,BI  7891 NA,7891-1
86,7891,https://www.lego.com/biassets/bi/4292956.pdf,https://www.lego.com/biassets/biimg/4292956.png,Bi-Pack City,BI  7891 IN,7891-1
87,7892,https://www.lego.com/biassets/bi/4292959.pdf,https://www.lego.com/biassets/biimg/4292959.png,Hospital,BI  1/5 7892,7892-1
88,7892,https://www.lego.com/biassets/bi/4293009.pdf,https://www.lego.com/biassets/biimg/4293009.png,Hospital,BI 2/5 7892,7892-1
89,7892,https://www.lego.com/biassets/bi/4293014.pdf,https://www.lego.com/biassets/biimg/4293014.png,Hospital,"BUILDING INSTR.3,4,5/5 7892 IN",7892-1
90,7892,https://www.lego.com/biassets/bi/4297920.pdf,https://www.lego.com/biassets/biimg/4297920.png,Hospital,"BUILDING INSTR.3,4,5/5 7892 NA",7892-1
91,7893,https://www.lego.com/biassets/bi/4493624.pdf,https://www.lego.com/biassets/biimg/4493624.png,Passenger Plane,"BI, 7893 IN",7893-1
92,7893,https://www.lego.com/biassets/bi/4493625.pdf,https://www.lego.com/biassets/biimg/4493625.png,Passenger Plane,"BI, 7893 NA",7893-1
93,7894,https://www.lego.com/biassets/bi/4298050.pdf,https://www.lego.com/biassets/biimg/4298050.png,Airport,"BUILDING INST.,7894 4-5-6/6 NA",7894-1
94,7894,https://www.lego.com/biassets/bi/4296811.pdf,https://www.lego.com/biassets/biimg/4296811.png,Airport,"BUILDING INSTRUC., 7894 2-3/6",7894-1
95,7894,https://www.lego.com/biassets/bi/4296812.pdf,https://www.lego.com/biassets/biimg/4296812.png,Airport,"BUILDING INST.,7894 4-5-6/6 IN",7894-1
96,7894,https://www.lego.com/biassets/bi/4294980.pdf,https://www.lego.com/biassets/biimg/4294980.png,Airport,"BI  7894,1/6",7894-1
97,7895,https://www.lego.com/biassets/bi/6124147.pdf,https://www.lego.com/biassets/biimg/6124147.png,Switch Tracks,BI 2002/ 2 - 7895 V39,7895-1
98,7895,https://www.lego.com/biassets/bi/6182403.pdf,https://www.lego.com/biassets/biimg/6182403.png,Switch Tracks,"BI 2002/ 2, 7895 V140",7895-1
99,7897,https://www.lego.com/biassets/bi/4494787.pdf,https://www.lego.com/biassets/biimg/4494787.png,Passenger Train,BI 4/4 7897,7897-1
100,7897,https://www.lego.com/biassets/bi/4511997.pdf,https://www.lego.com/biassets/biimg/4511997.png,Straight & Curved Rails,BI  7896 IN,7897-1
101,7897,https://www.lego.com/biassets/bi/4539702.pdf,https://www.lego.com/biassets/biimg/4539702.png,Passenger Train,"BUILD INSTR 3006, 1/4 7897 IN",7897-1
102,7897,https://www.lego.com/biassets/bi/4539703.pdf,https://www.lego.com/biassets/biimg/4539703.png,Passenger Train,"BUILD INSTR. 3006, 1/4 7897 NA",7897-1
103,7897,https://www.lego.com/biassets/bi/4539704.pdf,https://www.lego.com/biassets/biimg/4539704.png,Passenger Train,"BUILD INSTR. 3004, 2/4 7897",7897-1
104,7897,https://www.lego.com/biassets/bi/4539705.pdf,https://www.lego.com/biassets/biimg/4539705.png,Passenger Train,"BUILD INSTR. 3004, 3/4 7897",7897-1
105,7898,https://www.lego.com/biassets/bi/4539725.pdf,https://www.lego.com/biassets/biimg/4539725.png,Cargo Train Deluxe,"BUILD INSTR 3006, 1/8 7898 IN",7898-1
106,7898,https://www.lego.com/biassets/bi/4539726.pdf,https://www.lego.com/biassets/biimg/4539726.png,Cargo Train Deluxe,"BUILD INSTR 3006, 1/8 7898 NA",7898-1
107,7898,https://www.lego.com/biassets/bi/4539727.pdf,https://www.lego.com/biassets/biimg/4539727.png,Cargo Train Deluxe,"BUILD INSTR 3004, 2/8 7898",7898-1
108,7898,https://www.lego.com/biassets/bi/4539728.pdf,https://www.lego.com/biassets/biimg/4539728.png,Cargo Train Deluxe,"BUILD INSTR 3005, 3-4/8 7898",7898-1
109,7898,https://www.lego.com/biassets/bi/4539729.pdf,https://www.lego.com/biassets/biimg/4539729.png,Cargo Train Deluxe,"BUILD INSTR 3004, 5/8 7898",7898-1
110,7898,https://www.lego.com/biassets/bi/4539731.pdf,https://www.lego.com/biassets/biimg/4539731.png,Cargo Train Deluxe,"BUILD INSTR 3005, 6/8 7898",7898-1
111,7898,https://www.lego.com/biassets/bi/4511998.pdf,https://www.lego.com/biassets/biimg/4511998.png,Straight & Curved Rails,BI  7896 NA,7898-1
112,7898,https://www.lego.com/biassets/bi/4494801.pdf,https://www.lego.com/biassets/biimg/4494801.png,Cargo Train Deluxe,BI 8/8 7898,7898-1
113,7898,https://www.lego.com/biassets/bi/4497757.pdf,https://www.lego.com/biassets/biimg/4497757.png,Cargo Train Deluxe,BI 7/8 7898,7898-1
114,7899,https://www.lego.com/biassets/bi/4298051.pdf,https://www.lego.com/biassets/biimg/4298051.png,Police Boat,BI  1/2 7899,7899-1
115,7899,https://www.lego.com/biassets/bi/4492838.pdf,https://www.lego.com/biassets/biimg/4492838.png,Police Boat,"BUILDING INSTRUC, 2/2 7899 IN",7899-1
116,7899,https://www.lego.com/biassets/bi/4492839.pdf,https://www.lego.com/biassets/biimg/4492839.png,Police Boat,"BUILDING INSTRUC, 2/2 7899 NA",7899-1
117,7900,https://www.lego.com/biassets/bi/4498593.pdf,https://www.lego.com/biassets/biimg/4498593.png,Heavy Loader,BI  7900 IN,7900-1
118,7900,https://www.lego.com/biassets/bi/4498594.pdf,https://www.lego.com/biassets/biimg/4498594.png,Heavy Loader,BI  7900 NA,7900-1
119,7901,https://www.lego.com/biassets/bi/4294924.pdf,https://www.lego.com/biassets/biimg/4294924.png,Airplane Mechanic,"BI, 7901 IN",7901-1
120,7901,https://www.lego.com/biassets/bi/4297932.pdf,https://www.lego.com/biassets/biimg/4297932.png,Airplane Mechanic,"BI, 7901 NA",7901-1
121,7902,https://www.lego.com/biassets/bi/4297934.pdf,https://www.lego.com/biassets/biimg/4297934.png,Doctor's Car,"BI, 7902 NA",7902-1
122,7902,https://www.lego.com/biassets/bi/4294925.pdf,https://www.lego.com/biassets/biimg/4294925.png,City Fire,"BIIOn, 7902 IN",7902-1
123,7903,https://www.lego.com/biassets/bi/4294208.pdf,https://www.lego.com/biassets/biimg/4294208.png,Rescue Helicopter,BI  7903 IN,7903-1
124,7903,https://www.lego.com/biassets/bi/4297935.pdf,https://www.lego.com/biassets/biimg/4297935.png,Rescue Helicopter,"BI, 7903 NA",7903-1
125,7905,https://www.lego.com/biassets/bi/4498268.pdf,https://www.lego.com/biassets/biimg/4498268.png,Building Crane,"BI, 7905 NA",7905-1
126,7905,https://www.lego.com/biassets/bi/4497674.pdf,https://www.lego.com/biassets/biimg/4497674.png,Building Crane,"BI, 7905 IN",7905-1
127,7905,https://www.lego.com/biassets/bi/4497676.pdf,https://www.lego.com/biassets/biimg/4497676.png,Building Crane,"BI, 7905",7905-1
128,7906,https://www.lego.com/biassets/bi/4505978.pdf,https://www.lego.com/biassets/biimg/4505978.png,Fireboat,"BUILDING INSTR. 3006, 7906 NA",7906-1
129,7906,https://www.lego.com/biassets/bi/4505977.pdf,https://www.lego.com/biassets/biimg/4505977.png,Fireboat,"BUILDING INSTR. 3006, 7906 IN",7906-1
130,7910,https://www.lego.com/biassets/bi/4243710.pdf,https://www.lego.com/biassets/biimg/4243710.png,ROBOT,"BI, 7910",7910-1
131,7911,https://www.lego.com/biassets/bi/4243711.pdf,https://www.lego.com/biassets/biimg/4243711.png,TUGBOAT,"BI, 7911",7911-1
132,7912,https://www.lego.com/biassets/bi/4243712.pdf,https://www.lego.com/biassets/biimg/4243712.png,HELICOPTER,"BI, 7912",7912-1
133,7913,https://www.lego.com/biassets/bi/4624845.pdf,https://www.lego.com/biassets/biimg/4624845.png,Clone Trooper-„¢ Battle Pack,BI 3003/24 - 7913 V 29/39,7913-1
134,7913,https://www.lego.com/biassets/bi/4624834.pdf,https://www.lego.com/biassets/biimg/4624834.png,Clone Trooper-„¢ Battle Pack,BI 3003/24 - 7913 V29/39,7913-1
135,7914,https://www.lego.com/biassets/bi/4624847.pdf,https://www.lego.com/biassets/biimg/4624847.png,Mandalorian-„¢ Battle Pack,BI 3001/16 - 7914 V29/39,7914-1
136,7915,https://www.lego.com/biassets/bi/4624851.pdf,https://www.lego.com/biassets/biimg/4624851.png,Imperial V-wing Starfighter-„¢,BI 3004/56 - 7915 V 29,7915-1
137,7915,https://www.lego.com/biassets/bi/4624852.pdf,https://www.lego.com/biassets/biimg/4624852.png,Imperial V-wing Starfighter-„¢,BI 3004/56 - 7915 V 39,7915-1
138,7929,https://www.lego.com/biassets/bi/4660428.pdf,https://www.lego.com/biassets/biimg/4660428.png,The Battle of Naboo-„¢,BI 3004/48 - 7929 V 29,7929-1
139,7929,https://www.lego.com/biassets/bi/4660429.pdf,https://www.lego.com/biassets/biimg/4660429.png,The Battle of Naboo-„¢,BI 3004/48 - 7929 V 39,7929-1
140,7929,https://www.lego.com/biassets/bi/4624853.pdf,https://www.lego.com/biassets/biimg/4624853.png,The Battle of Naboo-„¢,BI 3004/48 - 7929 V 29,7929-1
141,7929,https://www.lego.com/biassets/bi/4624861.pdf,https://www.lego.com/biassets/biimg/4624861.png,The Battle of Naboo-„¢,BI 3004/48 - 7929 V 39,7929-1
142,7930,https://www.lego.com/biassets/bi/4624865.pdf,https://www.lego.com/biassets/biimg/4624865.png,Bounty Hunter-„¢ Assault Gunship,BI 3005/72+4 - 7930 V 29/39,7930-1
143,7930,https://www.lego.com/biassets/bi/4624866.pdf,https://www.lego.com/biassets/biimg/4624866.png,Bounty Hunter-„¢ Assault Gunship,BI 3005/72+4 - 7930 V 29/39,7930-1
144,7931,https://www.lego.com/biassets/bi/4625291.pdf,https://www.lego.com/biassets/biimg/4625291.png,T-6 Jedi Shuttle-„¢,BI 3009/64+4 7931 V 29/39,7931-1
145,7931,https://www.lego.com/biassets/bi/4625292.pdf,https://www.lego.com/biassets/biimg/4625292.png,T-6 Jedi Shuttle-„¢,BI 3009/64+4 7931 V 29/39,7931-1
146,7936,https://www.lego.com/biassets/bi/4594813.pdf,https://www.lego.com/biassets/biimg/4594813.png,Level Crossing,BI 3004/48 - 7936 V. 29,7936-1
147,7936,https://www.lego.com/biassets/bi/4594814.pdf,https://www.lego.com/biassets/biimg/4594814.png,Level Crossing,BI 3004/48 - 7936 V. 39,7936-1
148,7937,https://www.lego.com/biassets/bi/4598282.pdf,https://www.lego.com/biassets/biimg/4598282.png,Train Station,BI 3006/80+4 - 7937 V. 39 2/2,7937-1
149,7937,https://www.lego.com/biassets/bi/4599856.pdf,https://www.lego.com/biassets/biimg/4599856.png,Train Station,BI 3010/24 - 7937 V. 29 1/2,7937-1
150,7937,https://www.lego.com/biassets/bi/4599859.pdf,https://www.lego.com/biassets/biimg/4599859.png,Train Station,BI 3010/24 - 7937 V. 39 1/2,7937-1
151,7937,https://www.lego.com/biassets/bi/6012196.pdf,https://www.lego.com/biassets/biimg/6012196.png,Train Station,BI 3006/80+4* - 7937 V. 39 2/2,7937-1
152,7938,https://www.lego.com/biassets/bi/6012198.pdf,https://www.lego.com/biassets/biimg/6012198.png,Passenger Train,BI 3004/32 - 7938 V. 29 1/4,7938-1
153,7938,https://www.lego.com/biassets/bi/6012200.pdf,https://www.lego.com/biassets/biimg/6012200.png,Passenger Train,BI 3004/32 - 7938 V. 39 1/4,7938-1
154,7938,https://www.lego.com/biassets/bi/4634048.pdf,https://www.lego.com/biassets/biimg/4634048.png,Motorized Excavator,BI  - FCC INFORMATION SHEET,7938-1
155,7938,https://www.lego.com/biassets/bi/4622350.pdf,https://www.lego.com/biassets/biimg/4622350.png,Passenger Train,BI 3005/28 - 7938 V. 29 3/4,7938-1
156,7938,https://www.lego.com/biassets/bi/4626111.pdf,https://www.lego.com/biassets/biimg/4626111.png,Passenger Train,BI 3005/56- 7938 V. 39 4/4,7938-1
157,7938,https://www.lego.com/biassets/bi/4626146.pdf,https://www.lego.com/biassets/biimg/4626146.png,Passenger Train,BI 3005/28 - 7938 V. 39 3/4,7938-1
158,7938,https://www.lego.com/biassets/bi/4626117.pdf,https://www.lego.com/biassets/biimg/4626117.png,Passenger Train,BI 3006/60 - 7938 V. 39 2/4,7938-1
159,7938,https://www.lego.com/biassets/bi/4597806.pdf,https://www.lego.com/biassets/biimg/4597806.png,Passenger Train,BI 3005/56- 7938 V. 29 4/4,7938-1
160,7938,https://www.lego.com/biassets/bi/4597839.pdf,https://www.lego.com/biassets/biimg/4597839.png,Passenger Train,BI 3006/60 - 7938 V. 29 2/4,7938-1
161,7939,https://www.lego.com/biassets/bi/4597815.pdf,https://www.lego.com/biassets/biimg/4597815.png,Cargo Train,BI 3004/24 - 7939 V.29 2/6,7939-1
162,7939,https://www.lego.com/biassets/bi/4597817.pdf,https://www.lego.com/biassets/biimg/4597817.png,Cargo Train,BI 3004/32 - 7939 V. 29 3/6,7939-1
163,7939,https://www.lego.com/biassets/bi/4597819.pdf,https://www.lego.com/biassets/biimg/4597819.png,Cargo Train,BI 3004/32 - 7939 V. 29 4/6,7939-1
164,7939,https://www.lego.com/biassets/bi/4597821.pdf,https://www.lego.com/biassets/biimg/4597821.png,Cargo Train,BI 3004/48 - 7939 V. 29 6/6,7939-1
