ID,SetNumber,URL,Images,Description,Notes,DashedNumber,Preselect
10911,60125,https://www.lego.com/biassets/bi/6166843.pdf,https://www.lego.com/biassets/biimg/6166843.png,Volcano Heavy-lift Helicopter,No longer listed at LEGO.com,60125-1,volcano
10912,60125,https://www.lego.com/biassets/bi/6166832.pdf,https://www.lego.com/biassets/biimg/6166832.png,Volcano Heavy-lift Helicopter,"BI 3004/28, 60125 1/6 V39",60125-1,volcano
10913,60125,https://www.lego.com/biassets/bi/6166835.pdf,https://www.lego.com/biassets/biimg/6166835.png,Volcano Heavy-lift Helicopter,No longer listed at LEGO.com,60125-1,volcano
10914,60125,https://www.lego.com/biassets/bi/6166838.pdf,https://www.lego.com/biassets/biimg/6166838.png,Volcano Heavy-lift Helicopter,"BI 3004/52, 60125 3/6 V39",60125-1,volcano
10915,60125,https://www.lego.com/biassets/bi/6166845.pdf,https://www.lego.com/biassets/biimg/6166845.png,Volcano Heavy-lift Helicopter,"BI 3017/52-65G, 60125 6/6 V39",60125-1,volcano
10916,60125,https://www.lego.com/biassets/bi/6163887.pdf,https://www.lego.com/biassets/biimg/6163887.png,Volcano Heavy-lift Helicopter,"BI 3019/128+4/65+200G, 60125 5/6 V39",60125-1,volcano
10917,60125,https://www.lego.com/biassets/bi/6166840.pdf,https://www.lego.com/biassets/biimg/6166840.png,Volcano Heavy-lift Helicopter,No longer listed at LEGO.com,60125-1,volcano
10918,60125,https://www.lego.com/biassets/bi/6166831.pdf,https://www.lego.com/biassets/biimg/6166831.png,Volcano Heavy-lift Helicopter,"BI 3004/28, 60125 1/6 V29",60125-1,volcano
10919,60125,https://www.lego.com/biassets/bi/6166834.pdf,https://www.lego.com/biassets/biimg/6166834.png,Volcano Heavy-lift Helicopter,No longer listed at LEGO.com,60125-1,volcano
10920,60125,https://www.lego.com/biassets/bi/6166837.pdf,https://www.lego.com/biassets/biimg/6166837.png,Volcano Heavy-lift Helicopter,"BI 3004/52, 60125 3/6 V29",60125-1,volcano
