setID,number,numberVariant,name,year,theme,themeGroup,subtheme,pieces,minifigs,image,imageFilename,thumbnailURL,largeThumbnailURL,imageURL,bricksetURL,released,owned,wanted,qtyOwned,ACMDataCount,ownedByTotal,wantedByTotal,UKRetailPrice,USRetailPrice,CARetailPrice,EURetailPrice,USDateAddedToSAH,USDateRemovedFromSAH,rating,reviewCount,packagingType,availability,instructionsCount,additionalImageCount,ageMin,ageMax,height,width,depth,weight,category,userRating,EAN,UPC,lastUpdated
24138,10698,1,Large Creative Brick Box,2015,Classic,Basic,,790,,true,10698-1,https://images.brickset.com/sets/small/10698-1.jpg,https://images.brickset.com/sets/small/10698-1.jpg,https://images.brickset.com/sets/images/10698-1.jpg,https://brickset.com/sets/10698-1,true,false,false,0,0,2021,364,39.99,59.99,59.99,44.99,2015-01-01,,0,0,Plastic box,Retail,4,8,4,99,26.2128,37.0078,18.0086,1.60118,Normal,0,5702015357197,673419233606,2018-04-22T18:57:55.747
24049,10699,1,32x32 Sand Baseplate,2015,Classic,Basic,,1,,true,10699-1,https://images.brickset.com/sets/small/10699-1.jpg,https://images.brickset.com/sets/small/10699-1.jpg,https://images.brickset.com/sets/images/10699-1.jpg,https://brickset.com/sets/10699-1,true,false,false,0,0,3943,747,6.99,7.99,9.99,,2015-01-02,2018-02-21,5,1,Other,Retail,0,2,4,99,30.8102,26.0096,0.3048,0.09979024,Normal,0,5702015357135,673419232838,2014-12-30T11:29:29.357
24015,10700,1,32x32 Green Baseplate,2015,Classic,Basic,,1,,true,10700-1,https://images.brickset.com/sets/small/10700-1.jpg,https://images.brickset.com/sets/small/10700-1.jpg,https://images.brickset.com/sets/images/10700-1.jpg,https://brickset.com/sets/10700-1,true,false,false,0,0,4269,638,6.99,7.99,9.99,7.99,2015-01-07,,4,2,Other,Retail,0,2,4,99,30.8102,26.0096,0.3048,0.1043262,Normal,0,5702015357142,673419232845,2018-08-01T05:48:50.7
23935,10701,1,48x48 Grey Baseplate,2015,Classic,Basic,,1,,true,10701-1,https://images.brickset.com/sets/small/10701-1.jpg,https://images.brickset.com/sets/small/10701-1.jpg,https://images.brickset.com/sets/images/10701-1.jpg,https://brickset.com/sets/10701-1,true,false,false,0,0,3945,694,12.99,14.99,17.99,14.99,2015-01-07,,4.75,4,Other,Retail,0,2,4,99,43.7896,38.7096,0.3048,0.2222601,Normal,0,5702015357159,673419233750,2014-12-28T03:10:37.363
24995,10702,1,Creative Building Set,2016,Classic,Basic,,583,,true,10702-1,https://images.brickset.com/sets/small/10702-1.jpg,https://images.brickset.com/sets/small/10702-1.jpg,https://images.brickset.com/sets/images/10702-1.jpg,https://brickset.com/sets/10702-1,true,false,false,0,0,1237,291,19.99,29.99,39.99,,2016-01-02,2017-11-24,4,1,Box,Retail,2,10,4,99,,,,,Normal,0,,,2015-12-30T18:17:05.76
26556,10703,1,Creative Builder Box,2017,Classic,Basic,,502,,true,10703-1,https://images.brickset.com/sets/small/10703-1.jpg,https://images.brickset.com/sets/small/10703-1.jpg,https://images.brickset.com/sets/images/10703-1.jpg,https://brickset.com/sets/10703-1,true,false,false,0,0,1264,386,19.99,,,,,,4,1,{Not specified},{Not specified},2,9,,,,,,,Normal,0,,,2016-12-15T16:23:14.28
26773,10704,1,Creative Box,2017,Classic,Basic,,900,,true,10704-1,https://images.brickset.com/sets/small/10704-1.jpg,https://images.brickset.com/sets/small/10704-1.jpg,https://images.brickset.com/sets/images/10704-1.jpg,https://brickset.com/sets/10704-1,true,false,false,0,0,1561,264,29.99,,,,,,0,0,{Not specified},{Not specified},4,5,,,,,,,Normal,0,,,2016-12-15T16:23:14.28
26210,10705,1,Creative Building Basket,2016,Classic,Basic,,1000,,true,10705-1,https://images.brickset.com/sets/small/10705-1.jpg,https://images.brickset.com/sets/small/10705-1.jpg,https://images.brickset.com/sets/images/10705-1.jpg,https://brickset.com/sets/10705-1,true,false,false,0,0,488,248,39.99,59.99,79.99,,2016-06-01,2017-11-25,0,0,Box,{Not specified},2,8,,,,,,,Normal,0,,,2016-04-18T19:28:33.073
26557,10706,1,Blue Creative Box,2017,Classic,Basic,,78,,true,10706-1,https://images.brickset.com/sets/small/10706-1.jpg,https://images.brickset.com/sets/small/10706-1.jpg,https://images.brickset.com/sets/images/10706-1.jpg,https://brickset.com/sets/10706-1,true,false,false,0,0,2860,184,4.99,4.99,6.99,,2017-02-17,2018-11-24,4.5,4,{Not specified},{Not specified},2,5,4,99,9.0932,12.192,7.7978,0.113398,Normal,0,,673419267380,2016-12-15T16:23:14.28
26558,10707,1,Red Creative Box,2017,Classic,Basic,,55,,true,10707-1,https://images.brickset.com/sets/small/10707-1.jpg,https://images.brickset.com/sets/small/10707-1.jpg,https://images.brickset.com/sets/images/10707-1.jpg,https://brickset.com/sets/10707-1,true,false,false,0,0,2274,164,4.99,4.99,6.99,,2017-02-17,2018-11-25,4.33333333333333,3,Box,{Not specified},6,5,4,99,9.0932,12.192,7.7978,0.0907184,Normal,0,,673419267397,2017-01-01T13:37:48.493
26559,10708,1,Green Creative Box,2017,Classic,Basic,,66,,true,10708-1,https://images.brickset.com/sets/small/10708-1.jpg,https://images.brickset.com/sets/small/10708-1.jpg,https://images.brickset.com/sets/images/10708-1.jpg,https://brickset.com/sets/10708-1,true,false,false,0,0,2527,179,4.99,4.99,6.99,,2017-02-17,2018-11-24,3.5,2,{Not specified},{Not specified},2,5,4,99,9.0932,12.192,7.7978,0.09525432,Normal,0,,673419267403,2016-12-15T16:23:21.89
26560,10709,1,Orange Creative Box,2017,Classic,Basic,,60,,true,10709-1,https://images.brickset.com/sets/small/10709-1.jpg,https://images.brickset.com/sets/small/10709-1.jpg,https://images.brickset.com/sets/images/10709-1.jpg,https://brickset.com/sets/10709-1,true,false,false,0,0,2367,172,4.99,4.99,6.99,,2017-02-17,2018-11-26,4.5,2,{Not specified},{Not specified},2,5,4,99,9.0932,12.192,7.7978,0.0907184,Normal,0,,673419267410,2016-12-15T16:23:22.887
27664,10712,1,Bricks and Gears,2018,Classic,Basic,,244,,true,10712-1,https://images.brickset.com/sets/small/10712-1.jpg,https://images.brickset.com/sets/small/10712-1.jpg,https://images.brickset.com/sets/images/10712-1.jpg,https://brickset.com/sets/10712-1,true,false,false,0,0,649,242,17.99,19.99,24.99,19.99,2018-01-01,,5,1,Box,Retail,2,10,,,,,,,Normal,0,,,2018-01-02T11:59:10.76
