setID,number,numberVariant,name,year,theme,themeGroup,subtheme,pieces,minifigs,image,imageFilename,thumbnailURL,largeThumbnailURL,imageURL,bricksetURL,released,owned,wanted,qtyOwned,ACMDataCount,ownedByTotal,wantedByTotal,UKRetailPrice,USRetailPrice,CARetailPrice,EURetailPrice,USDateAddedToSAH,USDateRemovedFromSAH,rating,reviewCount,packagingType,availability,instructionsCount,additionalImageCount,ageMin,ageMax,height,width,depth,weight,category,userRating,EAN,UPC,lastUpdated
8239,3365,1,Space Moon Buggy,2011,City,Modern day,Space,37,1,true,3365-1,https://images.brickset.com/sets/small/3365-1.jpg,https://images.brickset.com/sets/small/3365-1.jpg,https://images.brickset.com/sets/images/3365-1.jpg,https://brickset.com/sets/3365-1,true,false,false,0,0,8964,1269,3.99,4.99,6.99,,2011-05-13,2013-11-07,4.090909091,11,Box,Retail,2,7,5,12,9.09,12.19,4.7,0.06,Normal,0,5.70201E+12,6.73419E+11,2010-12-09T14:29:49.723
8240,3366,1,Satellite Launch Pad,2011,City,Modern day,Space,165,1,true,3366-1,https://images.brickset.com/sets/small/3366-1.jpg,https://images.brickset.com/sets/small/3366-1.jpg,https://images.brickset.com/sets/images/3366-1.jpg,https://brickset.com/sets/3366-1,true,false,false,0,0,5517,1456,13.99,19.99,24.99,,2011-05-13,2013-12-26,4.6,5,Box,Retail,2,10,5,12,19.1,26.19,6.1,0.32,Normal,0,5.70201E+12,6.73419E+11,2010-12-09T14:29:50.347
8241,3367,1,Space Shuttle,2011,City,Modern day,Space,231,1,true,3367-1,https://images.brickset.com/sets/small/3367-1.jpg,https://images.brickset.com/sets/small/3367-1.jpg,https://images.brickset.com/sets/images/3367-1.jpg,https://brickset.com/sets/3367-1,true,false,false,0,0,6542,2043,26.99,29.99,39.99,,2011-03-05,2013-11-20,4.2,10,Box,Retail,6,10,5,12,26.19,38.2,5.64,0.59,Normal,0,5.70201E+12,6.73419E+11,2010-12-09T14:29:51.19
8242,3368,1,Space Centre,2011,City,Modern day,Space,494,4,true,3368-1,https://images.brickset.com/sets/small/3368-1.jpg,https://images.brickset.com/sets/small/3368-1.jpg,https://images.brickset.com/sets/images/3368-1.jpg,https://brickset.com/sets/3368-1,true,false,false,0,0,4428,2413,49.99,69.99,89.99,,2011-05-13,2013-11-24,4.6,5,Box,Retail,10,17,6,12,37.8,48.01,7.06,1.39,Normal,0,5.70201E+12,6.73419E+11,2010-12-09T14:29:51.933
8462,3648,1,Police Chase,2011,City,Modern day,Police,173,3,true,3648-1,https://images.brickset.com/sets/small/3648-1.jpg,https://images.brickset.com/sets/small/3648-1.jpg,https://images.brickset.com/sets/images/3648-1.jpg,https://brickset.com/sets/3648-1,true,false,false,0,0,2568,1732,18.99,24.99,29.99,,2011-08-05,2012-03-30,4,7,Box,Retail - limited,4,11,5,12,,,,,Normal,0,,,2015-12-26T19:09:47.84
8243,3658,1,Police Helicopter,2011,City,Modern day,Police,237,4,true,3658-1,https://images.brickset.com/sets/small/3658-1.jpg,https://images.brickset.com/sets/small/3658-1.jpg,https://images.brickset.com/sets/images/3658-1.jpg,https://brickset.com/sets/3658-1,true,false,false,0,0,2146,1535,26.99,34.99,44.99,,2010-12-28,2012-11-26,4.333333333,3,Box,Retail - limited,4,15,5,12,,,,,Normal,0,,,2015-12-19T21:20:26.927
8461,3661,1,Bank& Money Transfer,2011,City,Modern day,Police,405,4,true,3661-1,https://images.brickset.com/sets/small/3661-1.jpg,https://images.brickset.com/sets/small/3661-1.jpg,https://images.brickset.com/sets/images/3661-1.jpg,https://brickset.com/sets/3661-1,true,false,false,0,0,5185,2789,41.99,49.99,64.99,,2010-12-25,2012-12-25,4.761904762,21,Box,Retail - limited,7,15,5,12,,,,,Normal,0,5.70201E+12,6.73419E+11,2015-12-26T19:10:03.51
8709,3677,1,Red Cargo Train,2011,City,Modern day,Trains,831,4,true,3677-1,https://images.brickset.com/sets/small/3677-1.jpg,https://images.brickset.com/sets/small/3677-1.jpg,https://images.brickset.com/sets/images/3677-1.jpg,https://brickset.com/sets/3677-1,true,false,false,0,0,3412,2757,139.99,159.99,219.99,,2011-08-05,2012-11-23,3.5,2,Box,Retail - limited,14,16,6,12,,,,,Normal,0,5.70201E+12,6.73419E+11,2016-03-13T21:37:47.333
9152,4200,1,Mining 4x4,2012,City,Modern day,Mining,102,1,true,4200-1,https://images.brickset.com/sets/small/4200-1.jpg,https://images.brickset.com/sets/small/4200-1.jpg,https://images.brickset.com/sets/images/4200-1.jpg,https://brickset.com/sets/4200-1,true,false,false,0,0,7200,1508,7.99,11.99,14.99,,2012-06-02,2013-12-02,4.857142857,7,Box,Retail,2,5,5,12,14.1,19.1,6.1,0.15,Normal,0,5.70201E+12,6.73419E+11,2012-05-28T03:28:15.57
9153,4201,1,Loader and Tipper,2012,City,Modern day,Mining,139,2,true,4201-1,https://images.brickset.com/sets/small/4201-1.jpg,https://images.brickset.com/sets/small/4201-1.jpg,https://images.brickset.com/sets/images/4201-1.jpg,https://brickset.com/sets/4201-1,true,false,false,0,0,7173,1733,12.99,17.99,19.99,,2012-06-02,2014-11-10,4.5,2,Box,Retail,4,6,5,12,19.1,26.2,6.1,0.3,Normal,0,5.70201E+12,6.73419E+11,2012-05-28T03:28:23.12
